country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,NA,NA,NA,NA,NA,NA,58.5910923877537,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.932318782539,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5574176145113,NA,NA,NA,NA,NA,NA,NA,NA,91.6125760649087,NA
Bangladesh,NA,NA,NA,NA,NA,NA,17.9716294005283,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8389798798108,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8233499617312,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.4105
Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6282207366457,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4197193788276,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4939927389218,NA,NA
Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.3283939978644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,NA,NA,NA,NA,9.53907998333526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5652394726964,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3001376372241,NA,NA,NA,18.4429141300239,NA,NA,NA,NA,NA
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6806566289195,NA,NA,NA,NA,NA,NA
Bolivia,NA,51.3746452487902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.313217050162,NA,NA,NA,NA,NA,NA,NA,NA,80.6543829222586,NA,NA,NA,NA,NA,85.9859392890179,86.8317538591247,86.8214571657326,NA,NA
Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.3599446910705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.69526
Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2992359222859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.8079484097457,NA,NA,NA,NA,NA,NA,NA,85.56156
Brazil,NA,NA,NA,NA,NA,72.8531478096684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5000478085114,NA,NA,NA,88.8061266471471,NA,89.855592002389,90.2280073145367,90.2195549675079,90.41121724764,90.6816951923911,NA
British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunei,NA,NA,NA,NA,NA,NA,68.9825841024114,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.4613562781088,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.1615450018219,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.92081
Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7064858717381,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.9838974472264
Burkina Faso,3.18276569531967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.22542742681241,NA,NA,NA,NA,8.05798027171092,NA,NA,NA,NA,NA,NA,15.188767712988,NA,16.6222416379275,NA,21.5795652948935,NA,NA,NA,NA
Burundi,NA,NA,NA,NA,11.9835678814776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.529298381665,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2377622377622,NA,NA,NA,NA,NA,NA,NA,84.5914684940055,NA,NA,NA
Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9925042589438,NA,NA,NA,NA,NA,64.0509902069577,NA,NA,NA,70.8581985278722,65.931247955407,NA,NA
Cameroon,NA,29.1161285248785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.7217615098656,NA,NA,NA,NA,NA,NA,63.0220576341953,NA,NA,64.7994983958427,NA
Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cape Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.9986160977829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.06926,NA,NA,NA,NA,NA,NA,80.25824
Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.021477318346,NA,NA,NA,NA
Central African Rep.,8.39957585419262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.336880239199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2909041245561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.17747
Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.59182615547308,NA,NA,NA,NA,NA,NA,12.7964193738172,NA,NA,NA,17.9805825242718,NA,NA,NA,NA,NA,NA,25.39826
Chile,NA,NA,NA,NA,NA,NA,NA,90.800120516833,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.0367135558045,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.6409266938754,NA,NA,NA,NA,NA,98.6955727595277,98.491276708112,NA,NA
China,NA,NA,NA,NA,NA,NA,NA,51.1368083841293,NA,NA,NA,NA,NA,NA,NA,68.0720774247825,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5265951032606,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.7112347546601,NA
Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.2354817848529,NA,NA,91.3140001085853,NA,NA,NA,NA,NA,NA,NA,92.7146274553549,92.911247665378,92.2205958944221,92.8456239775655,93.4353732595696,93.4151302855951,93.4867888459609,93.6671378327439
Comoros,NA,NA,NA,NA,NA,40.3176159423594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.4590163934426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.57002
"Congo, Dem. Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.0608958582378,NA,NA,NA,NA,NA,46.1042544365412,NA,NA,NA,NA
"Congo, Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cook Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5771293243078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.0807910400585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.47886
Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4337822886898,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4766706568249,NA,38.6145133675754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.58359
Croatia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.817221960095,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.0838976517409,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.31105
Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7909221600559,NA,NA,NA,NA,NA,NA,NA,NA,99.82679
Cyprus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.0017808653948,NA,NA,NA,NA,NA,NA,NA,NA,95.0796648048727,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.116229344559
Czech Rep.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Rep.,NA,NA,NA,NA,NA,NA,72.5360846761177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.1770931246018,NA,NA,NA,NA,88.2771710383024,NA,NA,89.697296943051,90.2255199031432
Ecuador,NA,NA,NA,NA,NA,NA,NA,80.4052269910437,NA,NA,NA,NA,NA,NA,NA,86.1933332935725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.6970869415688,NA,NA,NA,NA,NA,81.6805872987492,NA,81.4511951600467,90.4701063939031,90.2208247612569
Egypt,NA,22.4380082097267,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4041908024757,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5953059268258,NA,NA,NA,NA,NA,NA,NA,NA,59.3555764191826,57.8119143391218,NA,NA,NA,63.5158130144409,64.6362345720184
El Salvador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2805324491241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.35865,NA,81.0038246223495,79.6621282105792,81.3595021754258,81.8179458846962,82.3080231431792,NA
Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.6229985443959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.07868
Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2244227353464,NA,NA,NA,NA,NA,NA,NA,NA,59.03992
Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6014830502083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7600609305853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.81971
Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5149809597309,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,17.9771972322585,NA,28.9216362018955,NA,NA,NA,NA
Fiji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3263103802672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.30927,NA,NA,NA,NA,NA,NA,85.63833
Gambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0615460364353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.88712
Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5528537975224,NA,NA,NA,NA,NA,NA,NA,NA,99.68613
Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7919623692566,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.2946862420959,NA
Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,NA,NA,NA,NA,NA,NA,85.3199873194528,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.3532957314904,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.2394115200321,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.27898
Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.2926610904738,NA,NA,NA,NA,NA,NA,NA,63.3413810180763,NA,NA,NA,NA,NA,NA,NA,NA,71.08082
Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.74306950066266,NA,NA,NA,NA,NA,NA,18.238683127572,NA,NA,NA,NA,NA,NA,12.1919704587339,NA
Guinea-Bissau,NA,NA,NA,NA,8.58826224717838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4942123249917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.06704
Guyana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2519769014671,NA,NA
Haiti,NA,NA,NA,NA,NA,NA,NA,32.5249563900814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8614676339783,NA,NA,44.5994542866971,NA,NA,NA,NA,NA
Holy See,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.2236016770126,NA,NA,NA,NA,NA,83.4527736517551,NA,NA,84.7250337473861,84.9303497260216
"Hong Kong, China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,NA,NA,NA,NA,NA,98.454129592132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.7131,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.85411,NA,NA,NA,NA,NA,NA,98.9387
Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,NA,NA,NA,NA,NA,NA,25.676252036446,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7295267624506,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8420986403667,NA,NA,NA,NA,50.8237564698658,NA,NA,NA,NA,NA
Indonesia,NA,NA,NA,NA,NA,57.694627768266,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.2701186944656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.7995890698538,NA,88.7869838386071,NA,89.1013908702289,89.6771167387037,NA,90.068697197349593
Iran,NA,24.4230830266728,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.0339498365534,NA,NA,NA,NA,56.1564167008308,NA,NA,NA,NA,66.0677639548348,NA,NA,NA,NA,NA,70.4,NA,NA,76.8026379522878,77.2400181952893,NA,80.6553220629719,NA,NA,NA
Iraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.1695015530247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.20716
Ireland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,NA,NA,NA,NA,NA,NA,NA,NA,88.6747170300862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,NA,NA,NA,NA,NA,NA,95.5366691085642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.0421528669028,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.74161
Jamaica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.8720822372328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.76553
Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,NA,NA,NA,NA,52.1106130942853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.7139248317488,NA,87.0058089467174,NA,88.9033122566057,NA,NA,89.2077440615131,93.9334566634725
Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1387710093713,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.2898953780488,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6842904471807,NA,NA
Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.8929795272823,NA,NA,NA,NA,NA,NA,66.8631175019354,NA,NA,NA,NA
Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, Dem. Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.9976152595066,NA,NA,NA
"Korea, Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,48.015214059772,NA,NA,NA,NA,59.110501880414,NA,NA,NA,NA,68.8493664305826,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.1487169707766,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.0425000810452,90.8286339090251,91.5034948824743,91.7930211236185,NA,NA,NA
Kyrgyzstan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.1306271888534,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9812133873561,NA,NA
Laos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9023617751578,NA,NA,NA,NA,58.4606986899563,60.9025202342568,NA,NA,NA,63.2269856999142,NA,NA,NA,NA,NA,NA
Latvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.2025507220102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7097311734486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.79728
Lebanon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.9677815663135,NA,NA,NA,NA
Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.0464526202791,NA,NA,NA,NA,NA,NA,NA,NA,84.9639594854906,NA,NA
Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3027913485792,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.01852,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.87633,NA,NA,27.0349066590424,NA,NA,NA,NA
Libya,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3135535998274,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.95931,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.19782,NA,NA,NA,NA,NA,NA,83.32303
